id,ending0,ending1,ending2,ending3,ending4,label,sent1,sent2,startphrase
9781,Phenylalanine hydroxylase,Bronchiectasis,Perform a stool culture,Distal trachea,Ependymoma,3,"A 35-year-old woman presents to the ER with shortness of breath, cough, and severe lower limb enlargement.  The dyspnea was of sudden onset, started a week ago, and increased with exercise but did not disappear with rest.  Her cough was dry, persistent, and non-productive.  She has a family history of maternal hypertension.  Her vital signs include heart rate 106/min, respiratory rate 28/min, and blood pressure 140/90 mm Hg.  On physical examination, thoracic expansion was diminished on the right side with rhonchi and crackles on the lower two-thirds of both sides, with left predominance.  A systolic murmur was heard on the tricuspid foci, which increased in intensity with inspiration.  There was jugular engorgement when the bed was placed at 50°.  Palpation of the abdomen was painful on the right hypochondrium, with hepatomegaly 4 cm below the lower coastal edge.  Hepatojugular reflux was present.  Soft, painless, pitting edema was present in both lower limbs up until the middle third of both legs.  Lung computed tomography (CT) and transthoracic echocardiogram were performed and detected right heart failure and severe pulmonary fibrosis. ",Which is the most likely pathological finding present in this patient?,"A 58-year-old man is brought to the emergency department after a witnessed tonic-clonic seizure. His wife says he has had a persistent dry cough for 6 months. During this time period, he has also had fatigue and a 4.5-kg (10-lb) weight loss. The patient has no history of serious illness and does not take any medications. He has smoked 1 pack of cigarettes daily for 35 years. He is confused and oriented only to person. Laboratory studies show a serum sodium concentration of 119 mEq/L and glucose concentration of 102 mg/dL. An x-ray of the chest shows an irregular, poorly demarcated density at the right hilum. Microscopic examination of this density is most likely to confirm which of the following diagnoses?"
8370,Autosomal dominant polycystic kidney disease (ADPKD),Warfarin,Reactivation of virus dormant in dorsal root ganglion,Crosslinking of preformed IgE antibodies,Trichotillomania,1,"A 44-year-old with a past medical history significant for human immunodeficiency virus infection presents to the emergency department after he was found to be experiencing worsening confusion.  The patient was noted to be disoriented by residents and staff at the homeless shelter where he resides.  On presentation he reports headache and muscle aches but is unable to provide more information.  His temperature is 102.2°F (39°C), blood pressure is 112/71 mmHg, pulse is 115/min, and respirations are 24/min.  Knee extension with hips flexed produces significant resistance and pain. ",Further evaluation of this patient is most likely to reveal which of the following findings?,"A 42-year-old man presents for evaluation of vitamin D deficiency with possible osteomalacia. The patient had a pathologic fracture 3 weeks ago and was found to have dangerously low levels of vitamin D with normal serum calcium levels. Bone density has been drastically affected, leading to the fracture this patient experienced. The lack of what compound is most responsible for the formation of this disease?"
3572,Pleural cavity,Calcitriol,CAG,Ultrasound of the neck only,"Lateral aspect of the anal canal, distal to the pectinate line",0,"A 13-month-old girl is brought to the physician because of a pruritic rash for 2 days.  The girl's mother says she noticed a few isolated skin lesions on her trunk two days ago that appear to be itching.  The girl received her routine immunizations 18 days ago.  Her mother has been giving her ibuprofen for her symptoms.  The patient has no known sick contacts.  She is at the 71st percentile for height and the 64th percentile for weight.  She is in no acute distress.  Her temperature is 38.1°C (100.6°F), pulse is 120/min, and respirations are 26/min.  Examination shows a few maculopapular and pustular lesions distributed over the face and trunk.  There are some excoriation marks and crusted lesions as well. ",Decreased activity of which of the following enzymes is most likely responsible for this patient's condition?,"A 5-year-old boy is brought in by his parents for recurrent abdominal pain. The child has been taken out of class 5 times this past week for abdominal pain that resulted in him being sent home. The mother reports that her son's stools have remained unchanged during this time and are brown in color, without blood, and with normal consistency and scent. She also notes that while at home he seems to be his usual self and does not complain of any symptoms. Of note she presents to you that she has been preparing her son's lunches which consist of couscous, vegetables, fried rice, and chicken. The patient denies difficulty with producing stool and does not complain of any functional pain. The child's vitals and labs including BMP and CBC are unremarkable and within normal limits. An abdominal exam is performed and there is no tenderness upon palpation, and the abdomen is soft and non-distended. After a conversation with the child exploring his symptoms, which of the following is the next step in management for this child?"
9469,Aspirin and clopidogrel,Alveoli,Breakdown of endothelial tight junctions,CTG,Complete blood count,4,"A 40-year-old G1P0010 presents to the clinic with nausea and vomiting 8 weeks after a spontaneous abortion at 10 weeks gestation.  She admits to heavy drinking (7–8 glasses of wine per day) for the last 20 years; however, after the pregnancy loss, she increased her drinking to 8–9 glasses per day.  Hepatomegaly, right upper quadrant pain, and jaundice are noted on abdominal examination.  The lungs are clear to auscultation with no abnormalities on chest X-ray.  Liver function tests are obtained and a biopsy is performed. ",Which of the following is most likely the primary mechanism of the development of edema in this patient?,An 8-year-old boy is brought to the emergency department because of shortness of breath and dry cough for 2 days. His symptoms began after he helped his father clean the basement. He is allergic to shellfish. Respirations are 26/min. Physical examination shows diffuse end-expiratory wheezing and decreased inspiratory-to-expiratory ratio. This patient's symptoms are most likely being caused by inflammation of which of the following structures?
9045,↑ NADH/NAD+; AST:ALT ≥ 2:1; ß-oxidation ↓; ß-hydroxybutyrate ↑; lactic acid ↑,Atrial septal defect (ASD),IV ceftriaxone,Degranulation of eosinophils,HLA-DR4,3,"A 30-year-old woman presents to the clinic for a 3-month history of painful hair loss.  She was in her usual state of health until about 3 months ago when she started to develop some painfully itchy spots across her scalp.  Since that time these spots have lost hair and scarred, with new spots continuing to form.  On further questioning, she shares that, for the last couple of years, she has generally felt poorly, specifically noting intermittent fevers, muscle and joint pains, and fatigue.  On physical exam, she has several erythematous and scaly plaques across her scalp.  These areas have no hair growth, but some do demonstrate hyperpigmentation. ","A lumbar puncture is performed with the following results:

Opening pressure: Normal
Fluid color: Clear
Cell count: Increased lymphocytes
Protein: Slightly elevated

Which of the following is the most likely cause of this patient's symptoms?","A 8-month-old boy is brought to the physician for the evaluation of shortening of his arms and legs. The parents report that they have also noticed that their son's head is progressively enlarging. The patient was born at term via vaginal delivery. There is no personal or family history of serious illness. His immunizations are up-to-date. He is at the 3rd percentile for height, 25th percentile for weight, and 95th percentile for head circumference. Examination shows macrocephaly and prominent brow bones. The extremities are short and plump. Muscle strength is 3/5 in all muscle groups. Deep tendon reflexes are 4+ bilaterally. An x-ray of the lateral skull shows midfacial hypoplasia and frontal prominence. X-rays of the spine shows abnormally narrow interpedicular distance. Which of the following is the most appropriate next step in management?"
4833,Squamous cell lung carcinoma,Cellular retention of sodium,Blanching vascular abnormalities,Low urine sodium,Tetralogy of Fallot (TOF),1,"A 65-year-old woman comes to the physician because of a 2-month history of persistent pain in her right shoulder.  The pain is localized to the top of the shoulder and is worse with movement.  She has stiffness in the right shoulder that is worse in the morning and usually lasts 20 minutes.  The patient reports that she is unable to brush her hair and has stopped going to her regular tennis lessons because of the pain.  She does not recall any fall or trauma.  When her right arm is passively abducted in an arc, there is pain between 60 and 120 degrees of abduction.  When asked to lower the right arm slowly from 90 degrees of abduction, she is unable to hold her arm up and it drops to her side.  Passive range of motion is normal.  Injection of 5 mL of 1% lidocaine into the right subacromial space does not relieve the pain or improve active range of motion of the right arm. ",What is the most likely diagnosis?,"An 8-year-old boy is brought to the pediatrician because his mother is concerned about recent behavioral changes. His mother states that she has started to notice that he is slurring his speech and seems to be falling more than normal. On exam, the pediatrician observes the boy has pes cavus, hammer toes, and kyposcoliosis. Based on these findings, the pediatrician is concerned the child has a trinucleotide repeat disease. Which of the following trinucleotide repeats is this child most likely to possess?"
7839,IV ganciclovir,Atrophic vaginitis,Lewy bodies,Budd-chiari syndrome,Hypercoagulability studies,0,A 22-year-old man comes to the physician because of headaches and blurry vision for the past 6 months.  He also reports frequent episodes of vomiting over the last month.  His father has died of renal cell carcinoma at the age of 37 years.  Examination shows 20/40 vision bilaterally.  Fundoscopic examination shows bilateral optic disc swelling and growth of capillary vessels in the temporal peripheral retina.  An MRI of the brain shows an infratentorial mass.  The patient undergoes surgical resection of the mass.  A photomicrograph of the resected specimen is shown. ,Which of the following is the most likely diagnosis?,"A 74-year-old man presents to the emergency department with sudden-onset abdominal pain that is most painful around the umbilicus. The pain began 16 hours ago and has no association with meals. He has not been vomiting, but he has had several episodes of bloody loose bowel movements. He was hospitalized 1 week ago for an acute myocardial infarction. He has had diabetes mellitus for 35 years and hypertension for 20 years. He has smoked 15–20 cigarettes per day for the past 40 years. His temperature is 36.9°C (98.42°F), blood pressure is 95/65 mm Hg, and pulse is 95/min. On physical examination, the patient is in severe pain, there is mild periumbilical tenderness, and a bruit is heard over the epigastric area. Which of the following is the definitive test to assess the patient condition?"
9425,"Posterior midline of the anal canal, distal to the pectinate line",Discoid lupus erythematosus (DLE),Vitamin D binding protein,Carotid stenting,Sestamibi scan only,0,"A 72-year-old man presents to the emergency department after a fall.  The patient was found lying down on the floor in his room in his retirement community.  The patient has a past medical history of Alzheimer dementia and a prosthetic valve.  His current medications include donepezil and warfarin.  His temperature is 97.7°F (36.5°C), blood pressure is 85/50 mmHg, pulse is 160/min, respirations are 13/min, and oxygen saturation is 97% on room air.  That patient is started on IV fluids and a type and screen is performed.  Laboratory values are ordered as seen below. 

Hemoglobin: 13 g/dL
Hematocrit: 39%
Leukocyte count: 5,500 cells/mm^3 with normal differential
Platelet count: 225,000/mm^3

INR: 2.5
AST: 10 U/L
ALT: 12 U/L

A chest radiograph and EKG are performed and are within normal limits.  A full physical exam is within normal limits.  The patient’s vitals are repeated.  His temperature is 99.5°F (37.5°C), blood pressure is 110/70 mmHg, pulse is 90/min, respirations are 10/min, and oxygen saturation is 98% on room air. ",Which of the following changes would produce the same effect on the oxygen-hemoglobin dissociation curve as this athlete's training did?,"A 36-year-old man is brought to the emergency department by his wife 20 minutes after having a seizure. Over the past 3 days, he has had a fever and worsening headaches. This morning, his wife noticed that he was irritable and demonstrated strange behavior; he put the back of his fork, the salt shaker, and the lid of the coffee can into his mouth. He has no history of serious illness and takes no medications. His temperature is 39°C (102.2°F), pulse is 88/min, and blood pressure is 118/76 mm Hg. Neurologic examination shows diffuse hyperreflexia and an extensor response to the plantar reflex on the right. A T2-weighted MRI of the brain shows edema and areas of hemorrhage in the left temporal lobe. Which of the following is most likely the primary mechanism of the development of edema in this patient?"
1838,Achlorhydria,Decreased temperature,"Anterior midline of the anal canal, distal to the pectinate line",Subacromial bursitis,Acquired cystic kidney disease,1,"A 8-month-old boy is brought to the physician for the evaluation of shortening of his arms and legs.  The parents report that they have also noticed that their son's head is progressively enlarging.  The patient was born at term via vaginal delivery.  There is no personal or family history of serious illness.  His immunizations are up-to-date.  He is at the 3rd percentile for height, 25th percentile for weight, and 95th percentile for head circumference.  Examination shows macrocephaly and prominent brow bones.  The extremities are short and plump.  Muscle strength is 3/5 in all muscle groups.  Deep tendon reflexes are 4+ bilaterally.  An x-ray of the lateral skull shows midfacial hypoplasia and frontal prominence.  X-rays of the spine shows abnormally narrow interpedicular distance. ",Which of the following is the most likely explanation for these findings?,"A 35-year-old woman comes to your office with a variety of complaints. As part of her evaluation, she undergoes laboratory testing which reveals the presence of anti-centromere antibodies. All of the following symptoms and signs would be expected to be present EXCEPT:"
6952,H2 receptors of the stomach,Leukocyte casts,Ventricular septal defect (VSD),"Posterior midline of the anal canal, proximal to the pectinate line",Amyloid plaques,0,"A 24-year-old professional athlete is advised to train in the mountains to enhance his performance.  After 5 months of training at an altitude of 1.5 km (5,000 feet), he is able to increase his running pace while competing at sea-level venues. ",Which of the following is the best next step in management?,"A 30-year-old woman presents to the clinic for a 3-month history of painful hair loss. She was in her usual state of health until about 3 months ago when she started to develop some painfully itchy spots across her scalp. Since that time these spots have lost hair and scarred, with new spots continuing to form. On further questioning, she shares that, for the last couple of years, she has generally felt poorly, specifically noting intermittent fevers, muscle and joint pains, and fatigue. On physical exam, she has several erythematous and scaly plaques across her scalp. These areas have no hair growth, but some do demonstrate hyperpigmentation. Which of the following is the most likely diagnosis?"
4147,Calcifediol,Coronary artery disease,Levothyroxine therapy,PTH,Obesity,2,"A 1-year-old boy is brought to the physician by his parents for the evaluation of recurrent seizures.  He is at the 5th percentile for height and 10th percentile for weight.  Examination shows coarse pale hair, inelastic hypopigmented skin, and generalized hypotonia.  Laboratory studies show low serum ceruloplasmin levels. ","Which of the following is the most appropriate pharmacotherapy?""","A 48-year old man comes to the physician for the evaluation of an 8-month history of fatigue and profuse, watery, odorless diarrhea. He reports that he has had a 10.5-kg (23-lb) weight loss during this time. Physical examination shows conjunctival pallor and poor skin turgor. Laboratory studies show:
Hemoglobin 9.8 g/dl
Serum
Glucose (fasting) 130 mg/dl
K+ 2.5 mEq/L
Ca2+ 12 mg/dl
A CT scan of the abdomen with contrast shows a 3.0 × 3.2 × 4.4 cm, well-defined, enhancing lesion in the pancreatic tail. Further evaluation of this patient is most likely to show which of the following findings?"""
7085,Reassurance,CT scanning,Hematuria,Neisseria meningitidis,↑ NADH/NAD+; ALT:AST ≥ 2:1; ß-oxidation ↓; ß-hydroxybutyrate ↓; lactic acid ↑,3,"A 36-year-old man is brought to the emergency department by his wife 20 minutes after having a seizure.  Over the past 3 days, he has had a fever and worsening headaches.  This morning, his wife noticed that he was irritable and demonstrated strange behavior; he put the back of his fork, the salt shaker, and the lid of the coffee can into his mouth.  He has no history of serious illness and takes no medications.  His temperature is 39°C (102.2°F), pulse is 88/min, and blood pressure is 118/76 mm Hg.  Neurologic examination shows diffuse hyperreflexia and an extensor response to the plantar reflex on the right.  A T2-weighted MRI of the brain shows edema and areas of hemorrhage in the left temporal lobe. ",The lack of what compound is most responsible for the formation of this disease?,"A 34-year-old man presents to a clinic with complaints of abdominal discomfort and blood in the urine for 2 days. He has had similar abdominal discomfort during the past 5 years, although he does not remember passing blood in the urine. He has had hypertension for the past 2 years, for which he has been prescribed medication. There is no history of weight loss, skin rashes, joint pain, vomiting, change in bowel habits, and smoking. On physical examination, there are ballotable flank masses bilaterally. The bowel sounds are normal. Renal function tests are as follows:
Urea 50 mg/dL
Creatinine 1.4 mg/dL
Protein Negative
RBC Numerous
The patient underwent ultrasonography of the abdomen, which revealed enlarged kidneys and multiple anechoic cysts with well-defined walls. A CT scan confirmed the presence of multiple cysts in the kidneys. What is the most likely diagnosis?"
9107,CGG,Cholelithiasis,Oligodendroglioma,IV acyclovir,GCC,2,"A 68-year-old man is admitted to the intensive care unit after open abdominal aortic aneurysm repair.  The patient has received 4 units of packed red blood cells during the surgery.  During the first 24 hours following the procedure, he has only passed 200 mL of urine.  He has congestive heart failure and hypertension.  Current medications include atenolol, enalapril, and spironolactone.  He appears ill.  His temperature is 37.1°C (98.8°F), pulse is 110/min, respirations are 18/min, and blood pressure is 110/78 mm Hg.  Examination shows dry mucous membranes and flat neck veins.  The remainder of the examination shows no abnormalities.  Laboratory studies show a serum creatinine level of 2.0 mg/dL and a BUN of 48 mg/dL. His serum creatinine and BUN on admission were 1.2 mg/dL and 18 mg/dL, respectively. ",Which of the following is the most likely diagnosis?,"A 35-year-old woman presents to the ER with shortness of breath, cough, and severe lower limb enlargement. The dyspnea was of sudden onset, started a week ago, and increased with exercise but did not disappear with rest. Her cough was dry, persistent, and non-productive. She has a family history of maternal hypertension. Her vital signs include heart rate 106/min, respiratory rate 28/min, and blood pressure 140/90 mm Hg. On physical examination, thoracic expansion was diminished on the right side with rhonchi and crackles on the lower two-thirds of both sides, with left predominance. A systolic murmur was heard on the tricuspid foci, which increased in intensity with inspiration. There was jugular engorgement when the bed was placed at 50°. Palpation of the abdomen was painful on the right hypochondrium, with hepatomegaly 4 cm below the lower coastal edge. Hepatojugular reflux was present. Soft, painless, pitting edema was present in both lower limbs up until the middle third of both legs. Lung computed tomography (CT) and transthoracic echocardiogram were performed and detected right heart failure and severe pulmonary fibrosis. What is the most likely diagnosis?"
2295,Decreased urine osmolarity,Small cell lung carcinoma,Bone scan (DEXA),Glucocerebrosidase,Increased hydrostatic pressure,2,"A 48-year old man comes to the physician for the evaluation of an 8-month history of fatigue and profuse, watery, odorless diarrhea.  He reports that he has had a 10.5-kg (23-lb) weight loss during this time.  Physical examination shows conjunctival pallor and poor skin turgor.  Laboratory studies show:
Hemoglobin 9.8 g/dl
Serum
Glucose (fasting) 130 mg/dl
K+ 2.5 mEq/L
Ca2+ 12 mg/dl
A CT scan of the abdomen with contrast shows a 3.0 × 3.2 × 4.4 cm, well-defined, enhancing lesion in the pancreatic tail. ",Which of the following interventions is most appropriate for this patient's condition?,"A 24-year-old professional athlete is advised to train in the mountains to enhance his performance. After 5 months of training at an altitude of 1.5 km (5,000 feet), he is able to increase his running pace while competing at sea-level venues. Which of the following changes would produce the same effect on the oxygen-hemoglobin dissociation curve as this athlete's training did?"
1854,Cervical radiculopathy,Antigen contact with presensitized T-lymphocytes,Chronic obstructive pulmonary disease,Hemangioblastoma,Terminal bronchioles,0,"A 2-year-old boy is presented to the pediatrician due to poor weight gain and easy fatigability.  His mother states that the patient barely engages in any physical activity as he becomes short of breath easily.  The prenatal and birth histories are insignificant.  Past medical history includes a few episodes of upper respiratory tract infection that were treated successfully.  The patient is in the 10th percentile for weight and 40th percentile for height.  The vital signs include: heart rate 122/min and respirations 32/min.  Cardiac auscultation reveals clear lungs and a grade 2/6 holosystolic murmur loudest at the left lower sternal border.  The remainder of the physical examination is negative for clubbing, cyanosis, and peripheral edema. ",Which of the following is the most appropriate next step in management?,"A 5-day-old male newborn is brought to the emergency department 1 hour after having a seizure. It lasted approximately 1 minute, and involved blinking and lip-smacking movements as well as left-sided jerking of the hand and foot. His mother says she measured a temperature of 38.2°C (100.7°F) at that time. He has had increasing difficulty feeding since yesterday. He was born at 39 weeks' gestation and weighed 3189 g (7 lb, 1 oz); he currently weighs 2980 g (6 lb, 9 oz). The mother's prenatal course was significant for gonorrhea infection diagnosed early in pregnancy and treated with ceftriaxone and azithromycin combination therapy. The boy appears irritable and lethargic. His temperature is 36.0°C (96.8°F). Examination shows clusters of vesicular lesions with an erythematous base on the patient's face and trunk. There is profuse lacrimation. Laboratory studies show:
Leukocyte count 16,200/mm3
Segmented neutrophils 25%
Bands 5%
Lymphocytes 65%
Monocytes 3%
Eosinophils 2%
Serum
Glucose 80 mg/dL
A lumbar puncture is performed. Cerebrospinal fluid analysis shows a leukocyte count of 117/μL, a protein concentration of 52 mg/dL, and a glucose concentration of 58 mg/dL. Results of blood cultures are pending. Which of the following is the most appropriate pharmacotherapy?"""
4202,Cryptococcus,CT scan of the neck,Large cell lung carcinoma,Colonoscopy,Episodic hypertension,3,"A 35-year-old woman comes to your office with a variety of complaints.  As part of her evaluation, she undergoes laboratory testing which reveals the presence of anti-centromere antibodies. ",Which of the following findings is most likely to be true in her condition?,"A 68-year-old man is admitted to the intensive care unit after open abdominal aortic aneurysm repair. The patient has received 4 units of packed red blood cells during the surgery. During the first 24 hours following the procedure, he has only passed 200 mL of urine. He has congestive heart failure and hypertension. Current medications include atenolol, enalapril, and spironolactone. He appears ill. His temperature is 37.1°C (98.8°F), pulse is 110/min, respirations are 18/min, and blood pressure is 110/78 mm Hg. Examination shows dry mucous membranes and flat neck veins. The remainder of the examination shows no abnormalities. Laboratory studies show a serum creatinine level of 2.0 mg/dL and a BUN of 48 mg/dL. His serum creatinine and BUN on admission were 1.2 mg/dL and 18 mg/dL, respectively. Further evaluation of this patient is most likely to reveal which of the following findings?"
8768,Alopecia areata,Glioblastoma,↑ NADH/NAD+; ALT:AST ≥ 2:1; ß-oxidation ↓; ß-hydroxybutyrate ↓; lactic acid ↓,HLA-DR3,Urgent blood transfusion,2,"A 40-year-old woman comes to the physician because of a 2-week history of anal pain that occurs during defecation and lasts for several hours.  She reports that she often strains during defecation and sees bright red blood on toilet paper after wiping.  She typically has 3 bowel movements per week.  Physical examination shows a longitudinal, perianal tear. ",This patient's symptoms are most likely being caused by inflammation of which of the following structures?,A 22-year-old man comes to the physician because of headaches and blurry vision for the past 6 months. He also reports frequent episodes of vomiting over the last month. His father has died of renal cell carcinoma at the age of 37 years. Examination shows 20/40 vision bilaterally. Fundoscopic examination shows bilateral optic disc swelling and growth of capillary vessels in the temporal peripheral retina. An MRI of the brain shows an infratentorial mass. The patient undergoes surgical resection of the mass. A photomicrograph of the resected specimen is shown. Which of the following is the most likely diagnosis?
